datenow,datefcst,nx,ny,PCP,POP,PTY,REH,SKY,SNO,TMP,WSD
2025-03-26 17:00:00,2025-03-26 18:00:00,62,126,0.0,30,0,25,4,0,21,2
2025-03-26 17:00:00,2025-03-26 19:00:00,62,126,0.0,30,0,30,4,0,19,1.9
2025-03-26 17:00:00,2025-03-26 20:00:00,62,126,0.0,30,0,35,4,0,19,2.7
2025-03-26 17:00:00,2025-03-26 21:00:00,62,126,0.0,20,0,40,3,0,18,2.4
2025-03-26 17:00:00,2025-03-26 22:00:00,62,126,0.0,30,0,45,4,0,18,2.9
2025-03-26 17:00:00,2025-03-26 23:00:00,62,126,0.0,30,0,55,4,0,17,2.8
2025-03-26 17:00:00,2025-03-27 00:00:00,62,126,0.0,20,0,60,3,0,16,2
2025-03-26 17:00:00,2025-03-27 01:00:00,62,126,1.0,60,1,70,4,0,16,1.8
2025-03-26 17:00:00,2025-03-27 02:00:00,62,126,1.0,60,1,80,4,0,15,1.3
2025-03-26 17:00:00,2025-03-27 03:00:00,62,126,1.0,60,1,85,4,0,15,2.3
2025-03-26 17:00:00,2025-03-27 04:00:00,62,126,3.0,69,1,90,4,0,15,2.6
2025-03-26 17:00:00,2025-03-27 05:00:00,62,126,2.0,65,1,85,4,0,14,2.6
2025-03-26 17:00:00,2025-03-27 06:00:00,62,126,2.0,65,1,85,4,0,14,2.2
2025-03-26 17:00:00,2025-03-27 07:00:00,62,126,2.0,60,1,85,4,0,14,2.1
2025-03-26 17:00:00,2025-03-27 08:00:00,62,126,0.0,30,0,85,4,0,13,2.6
2025-03-26 17:00:00,2025-03-27 09:00:00,62,126,1.0,60,1,85,4,0,13,1.6
2025-03-26 17:00:00,2025-03-27 10:00:00,62,126,1.0,60,1,85,4,0,13,1.9
2025-03-26 17:00:00,2025-03-27 11:00:00,62,126,0.0,30,0,80,4,0,13,1.6
2025-03-26 17:00:00,2025-03-27 12:00:00,62,126,0.0,30,0,75,4,0,15,1.5
2025-03-26 17:00:00,2025-03-27 13:00:00,62,126,0.0,30,0,65,4,0,16,1.5
2025-03-26 17:00:00,2025-03-27 14:00:00,62,126,0.0,30,0,55,4,0,18,2.9
2025-03-26 17:00:00,2025-03-27 15:00:00,62,126,0.0,30,0,45,4,0,19,3.1
2025-03-26 17:00:00,2025-03-27 16:00:00,62,126,0.0,20,0,30,3,0,19,4.3
2025-03-26 17:00:00,2025-03-27 17:00:00,62,126,0.0,30,0,30,4,0,18,4.6
2025-03-26 17:00:00,2025-03-27 18:00:00,62,126,0.0,30,0,30,4,0,16,5.4
2025-03-26 17:00:00,2025-03-27 19:00:00,62,126,0.0,30,0,30,4,0,14,5.5
2025-03-26 17:00:00,2025-03-27 20:00:00,62,126,0.0,20,0,25,3,0,12,4.9
2025-03-26 17:00:00,2025-03-27 21:00:00,62,126,0.0,20,0,30,3,0,11,4.2
2025-03-26 17:00:00,2025-03-27 22:00:00,62,126,0.0,20,0,35,3,0,10,4.3
2025-03-26 17:00:00,2025-03-27 23:00:00,62,126,0.0,20,0,50,3,0,10,4.4
2025-03-26 17:00:00,2025-03-28 00:00:00,62,126,0.0,20,0,50,3,0,9,4.4
2025-03-26 17:00:00,2025-03-28 01:00:00,62,126,0.0,20,0,50,3,0,8,4.9
