datenow,datefcst,nx,ny,PCP,POP,PTY,REH,SKY,SNO,TMP,WSD
2025-03-27 17:00:00,2025-03-27 18:00:00,62,126,0.0,30,0,30,4,0,16,1.9
2025-03-27 17:00:00,2025-03-27 19:00:00,62,126,0.0,30,0,30,4,0,14,2.1
2025-03-27 17:00:00,2025-03-27 20:00:00,62,126,0.0,30,0,30,4,0,13,2.2
2025-03-27 17:00:00,2025-03-27 21:00:00,62,126,0.0,30,0,35,4,0,12,1.9
2025-03-27 17:00:00,2025-03-27 22:00:00,62,126,0.0,30,0,40,4,0,11,2.3
2025-03-27 17:00:00,2025-03-27 23:00:00,62,126,0.0,30,0,45,4,0,10,2.3
2025-03-27 17:00:00,2025-03-28 00:00:00,62,126,0.0,20,0,50,3,0,10,2.5
2025-03-27 17:00:00,2025-03-28 01:00:00,62,126,0.0,0,0,50,1,0,9,2.4
2025-03-27 17:00:00,2025-03-28 02:00:00,62,126,0.0,0,0,45,1,0,8,2.3
2025-03-27 17:00:00,2025-03-28 03:00:00,62,126,0.0,0,0,45,1,0,7,2.4
2025-03-27 17:00:00,2025-03-28 04:00:00,62,126,0.0,0,0,50,1,0,6,2.5
2025-03-27 17:00:00,2025-03-28 05:00:00,62,126,0.0,0,0,50,1,0,6,2.6
2025-03-27 17:00:00,2025-03-28 06:00:00,62,126,0.0,0,0,50,1,0,5,2.1
2025-03-27 17:00:00,2025-03-28 07:00:00,62,126,0.0,0,0,55,1,0,5,2.2
2025-03-27 17:00:00,2025-03-28 08:00:00,62,126,0.0,0,0,55,1,0,5,2.8
2025-03-27 17:00:00,2025-03-28 09:00:00,62,126,0.0,0,0,50,1,0,6,3.3
2025-03-27 17:00:00,2025-03-28 10:00:00,62,126,0.0,0,0,50,1,0,8,3.7
2025-03-27 17:00:00,2025-03-28 11:00:00,62,126,0.0,0,0,45,1,0,9,3.9
2025-03-27 17:00:00,2025-03-28 12:00:00,62,126,0.0,0,0,35,1,0,11,4
2025-03-27 17:00:00,2025-03-28 13:00:00,62,126,0.0,0,0,25,1,0,12,4.5
2025-03-27 17:00:00,2025-03-28 14:00:00,62,126,0.0,0,0,15,1,0,12,4.9
2025-03-27 17:00:00,2025-03-28 15:00:00,62,126,0.0,0,0,10,1,0,12,4.8
